220340120001,3,2,1
220340120002,3,2,1
220340120003,3,1,1
220340120004,3,1,1
220340120005,3,1,1
220340120001,4,3,1
220340120002,4,2,1
220340120003,4,3,1
220340120004,4,2,1
220340120005,4,3,1
220340120001,4,1,2
220340120002,4,2,2
220340120003,4,2,1
220340120004,4,2,2
220340120005,4,2,1
220340120001,4,2,2
220340120002,4,1,2
220340120003,4,2,2
220340120004,4,2,1
220340120005,4,2,2
220340120001,3,2,1
220340120002,3,2,0
220340120003,3,2,1
220340120004,3,1,1
220340120005,3,2,1
220340120001,2,2,0
220340120002,2,1,0
220340120003,2,2,0
220340120004,2,2,0
220340120005,2,2,0
220340120001,4,2,1
220340120002,4,2,1
220340120003,4,3,1
220340120004,4,3,0
220340120005,4,3,1
